CustomerID,Age,Gender,Income,Location,DeviceType,PreferredCategory,PastClicks,PastPurchases,CustomerLifetimeValue,OpenRate,ClickThroughRate,PreviousResponse,Channel,CampaignType,CampaignText,DayOfWeek,TimeOfDay,Response
21,47,Female,142512,Suburban,Desktop,Fashion,12,9,2365.72,0.53,0.83,0,Email,Flash Sale,New arrivals in your favorite style,Fri,Morning,1
22,55,Female,87173,Rural,Tablet,Health & Beauty,4,4,4638.96,0.9,0.04,0,Email,Flash Sale,Upgrade your lifestyle with our new product,Wed,Evening,1
23,19,Female,100206,Suburban,Mobile,Fashion,13,5,3987.58,0.42,0.69,4,Email,New Product Launch,Don’t miss out on this deal,Fri,Afternoon,1
24,38,Female,58734,Suburban,Mobile,Electronics,18,7,4321.37,0.67,0.14,4,Social,New Product Launch,Exclusive early access for premium customers,Tue,Night,1
25,50,Female,82072,Suburban,Desktop,Fashion,13,9,757.33,0.77,0.55,1,Social,Discount,Hurry! Flash sale ends tonight,Sun,Night,1
26,29,Male,84175,Rural,Desktop,Groceries,3,5,829.05,0.19,0.13,1,Email,Discount,"Buy one, get one free on select items",Wed,Morning,1
27,39,Female,122974,Suburban,Mobile,Groceries,3,3,1259.47,0.86,0.97,3,Push,Flash Sale,Trending now: Shop the latest collection,Sat,Afternoon,1
28,61,Male,83783,Urban,Desktop,Electronics,8,1,3346.84,0.45,0.43,1,Social,Discount,Reward points doubled for this week only,Tue,Night,1
29,42,Male,114194,Rural,Mobile,Fashion,1,5,2433.81,0.06,0.79,3,Email,Flash Sale,New arrivals in your favorite style,Fri,Evening,1
30,44,Female,90739,Suburban,Tablet,Fashion,9,8,932.09,0.88,0.8,4,Social,New Product Launch,Don’t miss out on this deal,Tue,Morning,1
31,59,Male,107054,Rural,Desktop,Electronics,17,7,3754.33,0.56,0.12,3,Web Ads,Flash Sale,Your loyalty reward: 15% extra off,Thu,Morning,1
32,45,Female,71042,Suburban,Desktop,Health & Beauty,6,2,2635.63,0.2,0.57,3,Push,Loyalty Reward,Upgrade your lifestyle with our new product,Thu,Afternoon,1
33,33,Male,72357,Urban,Mobile,Travel,13,4,3681.88,0.32,1.0,4,Email,Flash Sale,"Buy one, get one free on select items",Sat,Afternoon,1
34,32,Male,28669,Rural,Mobile,Health & Beauty,14,5,4556.41,0.57,0.38,2,Push,Loyalty Reward,Exclusive early access for premium customers,Fri,Afternoon,1
35,64,Female,133272,Rural,Tablet,Travel,9,6,4582.26,0.37,0.1,1,Social,New Product Launch,Hurry! Flash sale ends tonight,Wed,Evening,1
36,61,Female,87902,Suburban,Desktop,Fashion,4,1,1575.48,0.23,0.76,0,Social,Flash Sale,New arrivals in your favorite style,Fri,Night,0
37,20,Female,142247,Urban,Mobile,Travel,7,5,876.82,0.48,0.59,4,Web Ads,New Product Launch,Special discount just for you,Sun,Morning,1
38,54,Female,38910,Rural,Tablet,Travel,4,1,2225.75,0.19,0.71,3,Email,Loyalty Reward,Trending now: Shop the latest collection,Tue,Afternoon,0
39,24,Male,76959,Suburban,Mobile,Fashion,4,7,511.02,0.25,0.53,0,Email,Flash Sale,Mega sale: Save big this weekend,Mon,Evening,1
40,38,Female,116623,Urban,Mobile,Groceries,13,6,315.45,0.83,0.27,1,SMS,Discount,Mega sale: Save big this weekend,Mon,Morning,1
41,26,Male,20366,Urban,Tablet,Travel,0,1,4892.76,0.23,0.47,0,Web Ads,New Product Launch,Summer collection now available,Thu,Evening,0
42,56,Male,68415,Urban,Tablet,Electronics,4,3,4861.94,0.7,0.59,0,Push,Loyalty Reward,Upgrade your lifestyle with our new product,Thu,Afternoon,1
43,35,Male,144716,Urban,Tablet,Health & Beauty,18,6,1823.72,0.25,0.24,1,Email,New Product Launch,Summer collection now available,Mon,Afternoon,1
44,21,Male,141209,Rural,Tablet,Fashion,11,8,4120.57,0.21,0.85,3,SMS,Flash Sale,Winter clearance sale starts today,Sat,Evening,1
45,42,Male,29907,Rural,Tablet,Fashion,14,2,1194.79,0.25,0.41,3,Push,Loyalty Reward,Mega sale: Save big this weekend,Sat,Night,0
46,31,Male,124910,Urban,Tablet,Travel,2,9,2144.73,0.47,0.72,2,Social,Flash Sale,Special discount just for you,Sat,Night,1
47,26,Female,115825,Suburban,Desktop,Groceries,0,9,3659.6,0.15,0.94,3,Social,Flash Sale,Trending now: Shop the latest collection,Tue,Night,1
48,43,Male,52780,Suburban,Tablet,Groceries,11,7,2797.66,0.11,0.42,2,Web Ads,Flash Sale,Trending now: Shop the latest collection,Fri,Afternoon,1
49,19,Male,77879,Urban,Desktop,Health & Beauty,12,8,4123.48,0.76,0.46,4,Social,Discount,Upgrade your lifestyle with our new product,Sun,Evening,1
50,37,Male,105159,Urban,Mobile,Health & Beauty,13,7,4902.19,0.02,0.18,1,Social,Flash Sale,Your loyalty reward: 15% extra off,Wed,Night,1
51,45,Female,55085,Suburban,Mobile,Groceries,9,3,144.19,0.39,0.38,2,SMS,Discount,Summer collection now available,Sun,Evening,0
52,64,Female,85499,Urban,Tablet,Groceries,19,3,4630.15,0.4,0.53,1,Push,Flash Sale,Hurry! Flash sale ends tonight,Mon,Evening,1
53,24,Male,40426,Urban,Mobile,Groceries,13,6,2125.89,0.89,0.23,0,Push,New Product Launch,Hurry! Flash sale ends tonight,Sun,Night,1
54,61,Female,68197,Rural,Tablet,Travel,13,3,2098.95,0.77,0.03,1,SMS,New Product Launch,"Buy one, get one free on select items",Tue,Morning,1
55,25,Male,27485,Rural,Tablet,Electronics,12,9,103.23,0.51,0.26,1,Push,New Product Launch,Reward points doubled for this week only,Fri,Night,0
56,64,Female,69527,Urban,Desktop,Health & Beauty,2,9,4188.32,0.48,0.68,1,Push,Flash Sale,Mega sale: Save big this weekend,Sun,Morning,1
57,52,Male,84600,Urban,Mobile,Fashion,18,6,3819.05,0.57,0.86,0,Web Ads,Discount,Upgrade your lifestyle with our new product,Mon,Afternoon,1
58,31,Female,144604,Rural,Tablet,Groceries,19,8,4480.65,0.36,0.13,3,Email,Flash Sale,Your loyalty reward: 15% extra off,Wed,Night,1
59,34,Female,118560,Urban,Mobile,Groceries,9,8,920.07,0.7,0.67,2,Push,New Product Launch,Hurry! Flash sale ends tonight,Fri,Night,1
60,53,Female,145144,Rural,Desktop,Electronics,11,8,1154.05,0.69,0.34,4,Push,New Product Launch,Exclusive deal: Free shipping now,Tue,Night,1
61,57,Male,135137,Rural,Mobile,Groceries,1,9,1587.3,0.57,0.3,1,Push,Loyalty Reward,Mega sale: Save big this weekend,Wed,Evening,0
62,21,Male,111005,Suburban,Desktop,Health & Beauty,0,9,2698.01,0.06,0.43,1,Social,Loyalty Reward,Mega sale: Save big this weekend,Mon,Evening,1
63,19,Male,101439,Rural,Desktop,Groceries,3,5,1791.07,0.13,0.87,2,SMS,Discount,Special discount just for you,Thu,Night,1
64,23,Female,88748,Suburban,Desktop,Electronics,7,0,1568.66,0.04,0.58,2,Web Ads,Discount,Exclusive early access for premium customers,Thu,Night,1
65,59,Female,78528,Suburban,Tablet,Travel,16,7,995.2,0.72,0.64,0,Social,Loyalty Reward,Winter clearance sale starts today,Tue,Morning,1
66,21,Male,124479,Rural,Tablet,Health & Beauty,13,5,880.08,0.48,0.11,2,SMS,Discount,Trending now: Shop the latest collection,Thu,Evening,1
67,46,Female,140631,Urban,Mobile,Travel,13,6,2417.4,0.95,0.12,0,Web Ads,New Product Launch,Exclusive early access for premium customers,Sat,Night,1
68,35,Male,47799,Rural,Tablet,Fashion,18,1,2284.91,0.95,0.5,3,Social,New Product Launch,Upgrade your lifestyle with our new product,Sat,Morning,1
69,43,Male,142714,Suburban,Tablet,Electronics,3,2,3947.14,0.8,0.72,0,Web Ads,Discount,Summer collection now available,Fri,Morning,0
70,61,Male,66339,Rural,Mobile,Fashion,19,5,4136.76,0.44,0.2,1,Push,New Product Launch,Your loyalty reward: 15% extra off,Thu,Morning,1
71,51,Male,36087,Rural,Desktop,Fashion,15,2,3533.01,0.32,0.55,4,Social,Loyalty Reward,"Buy one, get one free on select items",Thu,Night,1
72,27,Female,27446,Suburban,Desktop,Fashion,18,4,4172.9,0.2,0.92,1,Social,New Product Launch,Mega sale: Save big this weekend,Fri,Evening,1
73,53,Female,70460,Rural,Mobile,Fashion,18,3,633.37,0.23,0.51,0,Email,Loyalty Reward,Your loyalty reward: 15% extra off,Tue,Morning,1
74,31,Female,114817,Rural,Tablet,Electronics,12,4,2343.02,0.99,0.48,1,Push,Loyalty Reward,Reward points doubled for this week only,Mon,Night,1
75,48,Male,78260,Suburban,Mobile,Travel,6,7,1503.62,0.53,0.59,3,Push,Discount,Trending now: Shop the latest collection,Tue,Night,1
76,32,Female,34877,Urban,Mobile,Groceries,13,3,1333.81,0.01,0.69,3,Social,Loyalty Reward,"Buy one, get one free on select items",Sun,Morning,1
77,25,Male,148601,Suburban,Tablet,Fashion,9,8,3592.21,0.04,0.3,4,Social,New Product Launch,Exclusive deal: Free shipping now,Thu,Night,1
78,31,Male,44723,Suburban,Mobile,Groceries,13,2,4173.02,0.46,0.33,4,SMS,Flash Sale,Exclusive early access for premium customers,Tue,Morning,1
79,40,Male,32943,Rural,Tablet,Groceries,19,6,662.21,0.44,0.16,3,Email,Loyalty Reward,Exclusive deal: Free shipping now,Mon,Afternoon,1
80,57,Male,30306,Suburban,Tablet,Fashion,10,6,708.09,0.41,0.95,3,Social,Loyalty Reward,Hurry! Flash sale ends tonight,Fri,Morning,1
81,38,Male,56784,Rural,Mobile,Health & Beauty,10,0,3233.08,0.82,0.05,1,Web Ads,Flash Sale,Upgrade your lifestyle with our new product,Sun,Morning,1
82,33,Male,138628,Rural,Desktop,Groceries,14,2,807.06,0.7,0.46,3,SMS,New Product Launch,Summer collection now available,Fri,Night,0
83,62,Female,141401,Rural,Tablet,Health & Beauty,7,9,3865.09,0.11,0.68,0,Social,Flash Sale,Mega sale: Save big this weekend,Fri,Morning,1
84,35,Female,40455,Suburban,Desktop,Travel,16,0,4160.61,0.36,0.71,1,Push,Loyalty Reward,Hurry! Flash sale ends tonight,Tue,Afternoon,0
85,64,Female,110027,Suburban,Tablet,Groceries,5,7,2661.94,0.6,0.63,2,Email,Flash Sale,Trending now: Shop the latest collection,Sat,Morning,1
86,41,Female,91448,Rural,Desktop,Electronics,13,9,4551.17,0.38,0.34,4,SMS,Loyalty Reward,"Buy one, get one free on select items",Thu,Afternoon,1
87,43,Male,49974,Urban,Mobile,Travel,8,4,199.72,0.21,0.08,4,Web Ads,New Product Launch,New arrivals in your favorite style,Fri,Afternoon,0
88,42,Male,47371,Urban,Tablet,Travel,2,3,1209.41,0.63,0.93,4,SMS,Discount,Limited time offer: 20% off today!,Sat,Morning,0
89,62,Female,118746,Suburban,Mobile,Health & Beauty,11,2,3887.4,0.6,0.19,1,Email,Flash Sale,Your loyalty reward: 15% extra off,Sat,Night,1
90,58,Female,121248,Rural,Mobile,Fashion,3,6,4790.77,0.97,0.91,3,Email,Flash Sale,Winter clearance sale starts today,Thu,Morning,1
91,46,Female,23936,Rural,Mobile,Electronics,14,7,4806.84,0.56,0.23,0,SMS,Flash Sale,Limited time offer: 20% off today!,Wed,Evening,1
92,32,Female,53166,Suburban,Tablet,Electronics,12,7,101.95,0.87,0.07,2,Web Ads,Discount,Trending now: Shop the latest collection,Fri,Night,1
93,62,Female,45727,Urban,Mobile,Health & Beauty,17,0,3196.13,0.95,0.08,4,SMS,New Product Launch,Upgrade your lifestyle with our new product,Mon,Afternoon,0
94,18,Female,134000,Suburban,Mobile,Health & Beauty,13,6,233.91,0.43,0.36,1,Push,New Product Launch,New arrivals in your favorite style,Thu,Evening,1
95,42,Female,83969,Suburban,Tablet,Travel,12,4,3531.6,0.05,0.15,0,SMS,Discount,Special discount just for you,Wed,Afternoon,1
96,24,Female,48368,Rural,Mobile,Health & Beauty,8,1,3863.4,0.14,0.48,3,Social,New Product Launch,"Buy one, get one free on select items",Sat,Afternoon,1
97,26,Male,88531,Suburban,Tablet,Fashion,4,7,4302.55,0.5,0.45,2,Social,Loyalty Reward,"Buy one, get one free on select items",Fri,Evening,1
98,41,Male,59097,Urban,Mobile,Travel,18,1,2694.27,0.89,0.84,4,Web Ads,Loyalty Reward,Your loyalty reward: 15% extra off,Thu,Night,0
99,18,Male,54984,Suburban,Desktop,Travel,7,5,4265.55,0.65,0.7,3,Social,Loyalty Reward,Hurry! Flash sale ends tonight,Thu,Night,1
100,61,Male,70859,Rural,Mobile,Travel,12,4,4626.83,0.2,0.7,1,Social,New Product Launch,"Buy one, get one free on select items",Sun,Morning,1
101,25,Female,64291,Urban,Desktop,Electronics,8,5,2712.82,0.7,0.59,4,SMS,Discount,New arrivals in your favorite style,Wed,Evening,1
102,41,Male,85228,Rural,Tablet,Electronics,16,9,2668.16,0.89,0.05,1,SMS,Flash Sale,"Buy one, get one free on select items",Mon,Evening,1
103,28,Female,112099,Suburban,Desktop,Travel,4,7,2578.7,0.03,0.75,3,Email,Flash Sale,Don’t miss out on this deal,Tue,Afternoon,1
104,34,Male,42150,Suburban,Tablet,Fashion,8,8,2572.72,0.24,0.36,2,Social,Discount,Summer collection now available,Sat,Morning,1
105,25,Female,42061,Suburban,Mobile,Groceries,10,2,3895.22,0.15,0.84,4,Social,Flash Sale,Limited time offer: 20% off today!,Mon,Night,1
106,52,Female,49178,Rural,Desktop,Travel,1,2,429.92,0.78,0.25,4,Email,Flash Sale,Exclusive early access for premium customers,Tue,Afternoon,0
107,52,Male,120872,Suburban,Mobile,Health & Beauty,12,6,2317.2,0.89,0.67,0,Email,Discount,Reward points doubled for this week only,Sun,Morning,1
108,50,Male,76790,Urban,Desktop,Groceries,0,2,2667.53,0.55,0.6,4,Web Ads,Loyalty Reward,Summer collection now available,Sun,Night,0
109,22,Female,85696,Urban,Tablet,Electronics,7,9,1150.83,0.85,0.11,0,Email,Discount,Your loyalty reward: 15% extra off,Mon,Afternoon,1
110,59,Female,35648,Rural,Tablet,Electronics,14,4,2752.25,0.66,0.14,3,Email,Discount,Winter clearance sale starts today,Mon,Morning,1
111,56,Female,81779,Rural,Tablet,Groceries,1,9,2332.73,0.66,1.0,3,Social,New Product Launch,Hurry! Flash sale ends tonight,Fri,Morning,1
112,58,Male,126371,Rural,Tablet,Health & Beauty,2,3,3714.15,0.58,0.34,2,Push,Flash Sale,Upgrade your lifestyle with our new product,Thu,Morning,1
113,45,Male,56672,Suburban,Mobile,Electronics,16,8,1831.14,0.05,0.41,3,Web Ads,New Product Launch,Winter clearance sale starts today,Mon,Morning,0
114,24,Female,89109,Urban,Mobile,Electronics,17,7,4753.89,0.94,0.86,2,Web Ads,Loyalty Reward,Don’t miss out on this deal,Thu,Evening,1
115,26,Male,80521,Urban,Mobile,Travel,16,8,2127.28,0.36,0.63,1,SMS,New Product Launch,Trending now: Shop the latest collection,Sun,Morning,1
116,25,Female,54593,Urban,Mobile,Fashion,13,5,3191.37,0.8,0.68,0,Web Ads,New Product Launch,Your loyalty reward: 15% extra off,Thu,Morning,1
117,29,Male,33786,Rural,Mobile,Health & Beauty,10,1,1186.23,0.81,0.64,1,Email,Loyalty Reward,Trending now: Shop the latest collection,Thu,Night,0
118,51,Male,114036,Rural,Tablet,Travel,13,7,3474.42,0.97,0.32,2,Web Ads,New Product Launch,Summer collection now available,Thu,Morning,1
119,50,Male,29815,Suburban,Mobile,Fashion,4,0,2617.88,0.33,0.83,4,Web Ads,Flash Sale,Winter clearance sale starts today,Mon,Night,0
120,40,Male,41966,Rural,Mobile,Electronics,5,4,1776.96,1.0,0.03,0,SMS,Loyalty Reward,Exclusive early access for premium customers,Tue,Evening,0
121,41,Male,33794,Urban,Mobile,Fashion,18,1,1804.76,0.3,0.37,1,SMS,New Product Launch,Exclusive early access for premium customers,Thu,Night,0
122,54,Female,51423,Suburban,Tablet,Electronics,10,6,1939.73,0.45,0.95,1,Web Ads,Flash Sale,Special discount just for you,Thu,Night,1
123,52,Female,119480,Rural,Tablet,Travel,1,4,2243.52,0.71,0.38,1,Social,Flash Sale,Mega sale: Save big this weekend,Sat,Morning,1
124,61,Male,41302,Rural,Tablet,Electronics,9,9,1313.48,0.15,0.02,3,Email,Loyalty Reward,Hurry! Flash sale ends tonight,Fri,Evening,0
125,57,Female,81064,Urban,Tablet,Fashion,12,2,1459.27,0.27,0.19,4,Email,Discount,Special discount just for you,Mon,Night,1
126,39,Female,106800,Suburban,Mobile,Travel,1,6,4795.98,0.73,0.94,1,Email,Flash Sale,Winter clearance sale starts today,Sat,Night,1
127,44,Male,105140,Rural,Mobile,Fashion,13,2,1576.18,0.97,0.85,1,SMS,Discount,Mega sale: Save big this weekend,Mon,Afternoon,0
128,52,Female,47835,Rural,Desktop,Fashion,16,5,3171.85,0.73,0.2,1,Email,Discount,Summer collection now available,Mon,Morning,1
129,18,Male,93356,Suburban,Mobile,Groceries,8,3,1792.17,0.86,0.98,4,Social,Discount,New arrivals in your favorite style,Tue,Evening,1
130,52,Female,69282,Suburban,Tablet,Electronics,7,9,4073.11,0.04,0.16,1,Email,Discount,Limited time offer: 20% off today!,Thu,Morning,1
131,54,Female,148451,Rural,Tablet,Electronics,7,1,3510.14,0.58,0.99,0,SMS,New Product Launch,New arrivals in your favorite style,Sat,Afternoon,1
132,64,Female,141347,Rural,Mobile,Fashion,6,8,1708.31,0.91,0.84,3,Social,New Product Launch,Exclusive early access for premium customers,Wed,Evening,1
133,31,Female,72714,Urban,Desktop,Electronics,15,5,3611.46,0.68,0.91,3,Web Ads,Loyalty Reward,Special discount just for you,Tue,Afternoon,1
134,20,Female,87035,Suburban,Tablet,Health & Beauty,18,4,3808.05,0.68,0.14,1,Push,New Product Launch,Exclusive deal: Free shipping now,Sun,Evening,1
135,18,Female,43814,Rural,Desktop,Electronics,16,4,777.63,0.2,0.3,4,Social,Discount,Your loyalty reward: 15% extra off,Thu,Afternoon,1
136,22,Female,44089,Rural,Tablet,Travel,0,7,2932.92,0.86,0.7,4,SMS,Discount,Exclusive deal: Free shipping now,Fri,Evening,1
137,43,Male,93162,Rural,Tablet,Electronics,12,4,4058.02,0.87,0.51,2,Social,New Product Launch,Special discount just for you,Wed,Night,1
138,31,Male,75831,Rural,Mobile,Health & Beauty,15,7,346.71,0.61,0.29,2,Social,New Product Launch,"Buy one, get one free on select items",Sun,Night,1
139,56,Male,52746,Urban,Tablet,Fashion,5,7,2588.55,0.43,0.7,0,SMS,Discount,Winter clearance sale starts today,Fri,Afternoon,0
140,44,Male,101673,Suburban,Desktop,Electronics,14,0,4215.19,0.82,0.78,0,Push,New Product Launch,Limited time offer: 20% off today!,Sat,Morning,1
141,26,Female,71940,Rural,Desktop,Travel,11,3,4768.54,0.46,0.29,4,Web Ads,Discount,Don’t miss out on this deal,Mon,Morning,1
142,32,Female,106796,Suburban,Mobile,Health & Beauty,7,8,3314.33,0.82,0.09,0,SMS,Flash Sale,Exclusive deal: Free shipping now,Sun,Night,1
143,32,Female,56476,Suburban,Tablet,Groceries,0,1,1706.25,0.48,0.57,2,Web Ads,Flash Sale,Hurry! Flash sale ends tonight,Sat,Night,0
144,43,Male,46283,Rural,Desktop,Fashion,10,3,3063.74,0.58,0.4,4,Web Ads,Discount,Your loyalty reward: 15% extra off,Tue,Evening,1
145,59,Male,21769,Rural,Mobile,Fashion,14,3,234.08,0.75,0.88,2,Email,Loyalty Reward,Winter clearance sale starts today,Sun,Morning,1
146,30,Male,62278,Rural,Desktop,Fashion,0,0,2333.72,0.26,0.05,1,Social,Discount,"Buy one, get one free on select items",Wed,Afternoon,1
147,49,Female,66994,Urban,Mobile,Health & Beauty,15,9,3663.9,0.25,0.64,1,Push,Loyalty Reward,Exclusive deal: Free shipping now,Wed,Morning,1
148,56,Male,82898,Rural,Desktop,Electronics,6,9,277.41,0.67,0.05,0,Web Ads,Flash Sale,Limited time offer: 20% off today!,Mon,Evening,1
149,49,Female,35634,Suburban,Tablet,Electronics,0,6,3055.84,0.95,0.11,2,Web Ads,New Product Launch,Reward points doubled for this week only,Thu,Evening,0
150,21,Male,125035,Suburban,Desktop,Electronics,1,0,2982.78,0.45,0.37,4,Social,Loyalty Reward,Trending now: Shop the latest collection,Sat,Afternoon,0
151,47,Female,146259,Urban,Desktop,Electronics,7,4,1029.39,0.9,0.23,4,Email,New Product Launch,Limited time offer: 20% off today!,Wed,Afternoon,1
152,54,Male,30965,Rural,Mobile,Fashion,10,7,2889.19,0.52,0.16,0,Email,New Product Launch,Exclusive deal: Free shipping now,Tue,Night,1
153,40,Female,47566,Rural,Mobile,Groceries,12,3,2106.31,0.97,0.79,2,Push,Flash Sale,Exclusive deal: Free shipping now,Tue,Evening,1
154,56,Male,72196,Urban,Mobile,Fashion,4,4,2446.26,0.79,0.23,0,Email,Loyalty Reward,Reward points doubled for this week only,Fri,Evening,1
155,62,Male,118679,Urban,Desktop,Groceries,17,9,1694.49,0.86,0.36,4,Push,New Product Launch,Mega sale: Save big this weekend,Tue,Night,1
156,32,Female,68285,Rural,Mobile,Groceries,18,2,4070.69,0.68,0.91,1,Push,Flash Sale,New arrivals in your favorite style,Mon,Evening,1
157,60,Female,75499,Rural,Tablet,Electronics,2,4,1891.7,0.87,0.79,2,Web Ads,New Product Launch,"Buy one, get one free on select items",Sat,Evening,1
158,46,Male,39420,Suburban,Mobile,Travel,0,2,3974.97,0.59,0.52,0,Push,Discount,Exclusive early access for premium customers,Tue,Morning,0
159,53,Female,45236,Rural,Mobile,Health & Beauty,4,3,475.21,0.57,0.09,1,SMS,Discount,Exclusive early access for premium customers,Sun,Night,0
160,30,Male,26218,Rural,Tablet,Travel,18,2,1465.04,0.87,0.95,3,Push,Discount,Summer collection now available,Tue,Afternoon,0
161,49,Female,144283,Suburban,Mobile,Groceries,8,4,2073.08,0.02,0.71,2,Push,New Product Launch,Summer collection now available,Mon,Night,1
162,24,Male,69892,Suburban,Mobile,Travel,6,1,2082.44,0.48,0.04,4,SMS,Loyalty Reward,Exclusive early access for premium customers,Sun,Night,1
163,39,Female,94031,Suburban,Desktop,Groceries,11,8,2262.34,0.87,0.95,4,Social,Loyalty Reward,Don’t miss out on this deal,Thu,Evening,1
164,45,Male,119389,Suburban,Desktop,Fashion,13,2,3296.71,0.2,0.07,3,Email,New Product Launch,Exclusive early access for premium customers,Wed,Night,1
165,19,Male,84057,Urban,Mobile,Fashion,15,9,2912.87,0.96,0.6,2,Email,Loyalty Reward,Limited time offer: 20% off today!,Mon,Afternoon,1
166,59,Male,98609,Suburban,Tablet,Electronics,12,0,2653.13,0.74,0.39,0,Email,Flash Sale,Mega sale: Save big this weekend,Thu,Night,1
167,62,Female,96907,Urban,Mobile,Health & Beauty,17,4,4204.59,0.76,0.98,2,Social,Flash Sale,Exclusive early access for premium customers,Sun,Night,1
168,23,Male,103130,Suburban,Mobile,Fashion,9,3,1061.22,0.67,0.92,2,SMS,New Product Launch,New arrivals in your favorite style,Mon,Evening,1
169,45,Female,31226,Suburban,Mobile,Health & Beauty,5,1,4315.17,0.45,0.6,3,Email,Discount,Reward points doubled for this week only,Mon,Evening,0
170,45,Female,143108,Suburban,Desktop,Electronics,2,7,4076.01,0.46,0.7,4,Email,New Product Launch,Special discount just for you,Fri,Night,1
171,61,Female,72271,Rural,Tablet,Health & Beauty,3,8,1058.9,0.84,0.82,1,Push,Flash Sale,New arrivals in your favorite style,Wed,Evening,0
172,61,Male,30046,Urban,Tablet,Fashion,0,5,3157.91,0.14,0.82,4,Social,Loyalty Reward,Hurry! Flash sale ends tonight,Wed,Evening,1
173,37,Female,134955,Suburban,Tablet,Fashion,10,7,1194.06,0.52,0.6,2,Email,Loyalty Reward,Don’t miss out on this deal,Fri,Morning,1
174,47,Female,137462,Rural,Desktop,Travel,16,1,4719.82,0.31,0.25,4,Social,Discount,Hurry! Flash sale ends tonight,Wed,Afternoon,1
175,28,Female,129345,Urban,Desktop,Travel,4,5,2515.45,0.98,0.31,3,Email,Flash Sale,Upgrade your lifestyle with our new product,Wed,Morning,1
176,45,Male,57117,Urban,Mobile,Travel,11,0,1098.24,0.0,0.67,1,Email,Loyalty Reward,Exclusive early access for premium customers,Tue,Evening,0
177,42,Female,149980,Rural,Desktop,Health & Beauty,19,9,3216.94,0.06,0.69,1,Email,New Product Launch,Exclusive early access for premium customers,Sat,Night,1
178,56,Female,24965,Urban,Mobile,Fashion,6,2,3565.32,0.97,0.37,0,SMS,Flash Sale,Exclusive early access for premium customers,Mon,Morning,0
